n,t,x=0.0,x=0.1,x=0.2,x=0.3,x=0.4,x=0.5,x=0.6,x=0.7,x=0.8,x=0.9,x=1.0
45,0.045,0.0,0.16058637535793924,0.30663765290767797,0.42406912007756786,0.5004466569277253,0.5269742006678504,0.5004466569277253,0.4240691200775678,0.3066376529076779,0.16058637535793918,0.0
46,0.046,0.0,0.1591328655771192,0.30377567186969306,0.4199637270455946,0.49546165761672206,0.5216686919198253,0.49546165761672206,0.4199637270455946,0.303775671869693,0.15913286557711914,0.0
47,0.047,0.0,0.15768385964866466,0.30093019675802585,0.4158947145851172,0.4905325679899196,0.5164272850592047,0.4905325679899196,0.4158947145851172,0.3009301967580258,0.1576838596486646,0.0
48,0.048,0.0,0.15624010739473432,0.29810201482979887,0.4118620481428883,0.4856582543563679,0.5112483416453476,0.4856582543563679,0.4118620481428883,0.2981020148297988,0.15624010739473426,0.0
49,0.049,0.0,0.15480228739876734,0.29529182741760135,0.4078656654329273,0.4808376424639179,0.5061303241875517,0.4808376424639179,0.4078656654329273,0.2952918274176013,0.15480228739876728,0.0
50,0.05,0.0,0.153371012660774,0.29250025721725054,0.4039054793344938,0.47606971293318223,0.5010717878428249,0.47606971293318223,0.4039054793344938,0.2925002572172505,0.15337101266077396,0.0
51,0.051000000000000004,0.0,0.15194683585034424,0.2897278549733272,0.3999813804826383,0.47135349706427765,0.49607137286089636,0.47135349706427765,0.3999813804826383,0.28972785497332715,0.15194683585034421,0.0
52,0.052000000000000005,0.0,0.15053025417760812,0.28697510561196005,0.39609323958987114,0.4666880729857756,0.4911277977015726,0.4666880729857756,0.39609323958987114,0.28697510561196,0.1505302541776081,0.0
53,0.053,0.0,0.1491217139032825,0.284242433866316,0.39224090953167046,0.4620725621177649,0.4862398527584132,0.4620725621177648,0.39224090953167046,0.2842424338663159,0.14912171390328247,0.0
54,0.054,0.0,0.14772161450925758,0.2815302094365481,0.3884242272237445,0.45750612592322026,0.4814063946302835,0.4575061259232202,0.3884242272237444,0.28153020943654805,0.14772161450925755,0.0
55,0.055,0.0,0.14633031255106088,0.2788387517225387,0.3846430153149724,0.452987962923979,0.47662634088887085,0.45298796292397897,0.38464301531497236,0.27883875172253864,0.14633031255106085,0.0
56,0.056,0.0,0.14494812521310257,0.27616833416463427,0.3808970837166297,0.44851730595956757,0.47189866529589247,0.4485173059595675,0.38089708371662967,0.2761683341646342,0.14494812521310255,0.0
57,0.057,0.0,0.1435753335869455,0.27351918822468063,0.37718623098572396,0.4440934196689063,0.4672223934286275,0.44409341966890625,0.3771862309857239,0.2735191882246806,0.14357533358694546,0.0
58,0.058,0.0,0.14221218569202446,0.2708915070370115,0.3735102455779379,0.4397155981765602,0.46259659867668323,0.43971559817656014,0.3735102455779378,0.2708915070370114,0.14221218569202443,0.0
59,0.059000000000000004,0.0,0.1408588992573207,0.2682854487566054,0.3698689069837075,0.43538316296671026,0.4580203985766586,0.4353831629667102,0.36986890698370745,0.26828544875660537,0.14085889925732067,0.0
60,0.06,0.0,0.1395156642815171,0.2657011396293872,0.36626198675929755,0.4310954609294048,0.45349295145466895,0.43109546092940476,0.3662619867592975,0.26570113962938713,0.13951566428151707,0.0
61,0.061,0.0,0.1381826453881524,0.26313867680759123,0.36268924946331726,0.4268518625649205,0.4490134533496161,0.42685186256492047,0.3626892494633172,0.2631386768075912,0.13818264538815236,0.0
62,0.062,0.0,0.13685998399128105,0.26059813093122,0.359150453507905,0.42265176033322976,0.444581135192677,0.4226517603332297,0.3591504535079049,0.2605981309312199,0.13685998399128102,0.0
63,0.063,0.0,0.13554780028614682,0.25807954849489456,0.35564535193276897,0.418494567136642,0.44019526022078753,0.41849456713664196,0.3556453519327689,0.2580795484948945,0.1355478002861468,0.0
64,0.064,0.0,0.1342461950784069,0.25558295401780723,0.35217369310936886,0.41437971492466924,0.43585512160395845,0.41437971492466924,0.3521736931093688,0.2555829540178072,0.13424619507840688,0.0
65,0.065,0.0,0.13295525146450624,0.25310835203302334,0.34873522138174273,0.41030665341106815,0.43156004026810063,0.41030665341106815,0.3487352213817427,0.2531083520330233,0.1329552514645062,0.0
66,0.066,0.0,0.13167503637490732,0.2506557289110436,0.3453296776498033,0.40627484889383886,0.42730936289669413,0.40627484889383886,0.34532967764980327,0.25065572891104354,0.1316750363749073,0.0
67,0.067,0.0,0.1304056019910302,0.24822505453130594,0.3419567999003309,0.40228378316972085,0.42310246009612307,0.40228378316972085,0.34195679990033084,0.2482250545313059,0.13040560199103018,0.0
68,0.068,0.0,0.12914698704595476,0.24581628381418086,0.3386163236903674,0.39833295253542206,0.41893872471084265,0.39833295253542206,0.33861632369036737,0.2458162838141808,0.12914698704595473,0.0
69,0.069,0.0,0.12789921801818188,0.2434293581249769,0.33530798258725425,0.39442186686845865,0.41481757027575855,0.39442186686845865,0.3353079825872542,0.24342935812497685,0.12789921801818185,0.0
70,0.07,0.0,0.1266623102270432,0.24106420656052513,0.332031508569147,0.3905500487810682,0.41073842959429857,0.3905500487810682,0.3320315085691469,0.24106420656052507,0.12666231022704316,0.0
71,0.07100000000000001,0.0,0.12543626883768708,0.23872074712803912,0.3287866323894769,0.3867170328411991,0.4067007534316525,0.3867170328411991,0.32878663238947686,0.23872074712803906,0.12543626883768705,0.0
72,0.07200000000000001,0.0,0.12422108978295357,0.2363988878251477,0.32557308390850537,0.38292236485507225,0.4027040093135618,0.38292236485507225,0.3255730839085053,0.23639888782514765,0.12422108978295354,0.0
73,0.073,0.0,0.12301676060887763,0.23409852762926406,0.3223905923948263,0.3791656012062645,0.3987476804218639,0.3791656012062645,0.32239059239482626,0.234098527629264,0.1230167606088776,0.0
74,0.074,0.0,0.12182326125002851,0.23181955740378163,0.3192388867994139,0.3754463082466806,0.39483126457874407,0.3754463082466806,0.31923888679941387,0.2318195574037816,0.12182326125002849,0.0
75,0.075,0.0,0.12064056474040097,0.22956186072796955,0.31611769600457734,0.3717640617351603,0.3909542733123314,0.3717640617351603,0.31611769600457734,0.22956186072796952,0.12064056474040095,0.0
76,0.076,0.0,0.11946863786511773,0.22732531465687347,0.31302674904997485,0.3681184463198191,0.3871162309968972,0.3681184463198191,0.31302674904997485,0.22732531465687345,0.11946863786511772,0.0
77,0.077,0.0,0.11830744175778153,0.22510979041700804,0.30996577533764913,0.3645090550605425,0.38331667406148157,0.3645090550605425,0.30996577533764913,0.22510979041700802,0.11830744175778152,0.0
78,0.078,0.0,0.11715693244792603,0.2229151540431495,0.3069345048178744,0.36093548898834704,0.37955515026129377,0.36093548898834704,0.3069345048178744,0.2229151540431495,0.11715693244792602,0.0
79,0.079,0.0,0.11601706136265577,0.22074126696109964,0.3039326681574492,0.35739735669859446,0.37583121800670444,0.35739735669859446,0.3039326681574492,0.22074126696109964,0.11601706136265577,0.0
80,0.08,0.0,0.11488777578623457,0.2185879865208902,0.30095999689192876,0.35389427397529094,0.37214444574508243,0.35389427397529094,0.30095999689192876,0.2185879865208902,0.11488777578623457,0.0
